#      BLOCK:      ACTUAL_TE:           TE_AVE:             ERROR:
       220               -0.84              -0.764        0.0061973068
       221               -0.76       -0.7639819005      0.006169291118
       222               -0.52       -0.7628828829      0.006238624832
       223                -0.6       -0.7621524664      0.006253261235
       224               -0.68       -0.7617857143      0.006236090572
       225               -0.84       -0.7621333333      0.006218055748
       226               -0.76       -0.7621238938      0.006190549392
       227               -0.84       -0.7624669604      0.006172776924
       228               -0.84       -0.7628070175      0.006155063059
       229               -0.84       -0.7631441048      0.006137408548
       230               -0.84       -0.7634782609      0.006119814098
       231               -0.84       -0.7638095238      0.006102280372
       232               -0.84        -0.764137931       0.00608480799
       233               -0.84       -0.7644635193      0.006067397533
       234               -0.76       -0.7644444444      0.006041498468
       235               -0.84       -0.7647659574      0.006024338937
       236               -0.76       -0.7647457627      0.005998845925
       237               -0.76       -0.7647257384      0.005973567759
       238               -0.68       -0.7643697479      0.005959066794
       239               -0.68       -0.7640167364      0.005944580358
       240               -0.76              -0.764      0.005919834833
       241               -0.76       -0.7639834025       0.00589529447
       242               -0.76       -0.7639669421      0.005870956728
       243               -0.76       -0.7639506173      0.005846819109
       244               -0.68       -0.7636065574      0.005832971167
       245               -0.76       -0.7635918367      0.005809181696
       246               -0.92       -0.7642276423      0.005820257081
       247               -0.84        -0.764534413      0.005804772202
       248               -0.92       -0.7651612903       0.00581511667
       249               -0.92       -0.7657831325      0.005824916391
       250               -0.92             -0.7664       0.00583418889
       251               -0.92       -0.7670119522      0.005842951016
       252               -0.84       -0.7673015873      0.005826938887
       253               -0.92       -0.7679051383      0.005835081525
       254               -0.84       -0.7681889764      0.005819008088
       255               -0.68       -0.7678431373      0.005806456422
       256               -0.68             -0.7675      0.005793905068
       257               -0.84       -0.7677821012      0.005778224263
       258               -0.76        -0.767751938      0.005755906772
       259               -0.76       -0.7677220077      0.005733761011
       260               -0.84              -0.768       0.00571844312
       261               -0.76       -0.7679693487      0.005696615522
       262               -0.76       -0.7679389313      0.005674953922
       263               -0.84       -0.7682129278      0.005659986794
       264               -0.92       -0.7687878788      0.005667674468
       265               -0.84       -0.7690566038       0.00565265404
       266               -0.76       -0.7690225564      0.005631505998
       267               -0.76        -0.768988764      0.005610515602
       268               -0.76       -0.7689552239      0.005589681094
       269               -0.84       -0.7692193309      0.005575137517
       270               -0.76       -0.7691851852      0.005554593424
       271               -0.84       -0.7694464945      0.005540239853
       272               -0.84       -0.7697058824      0.005525940114
       273               -0.84         -0.76996337      0.005511694278
       274               -0.76       -0.7699270073      0.005491698553
       275               -0.84       -0.7701818182      0.005477637072
       276               -0.84       -0.7704347826      0.005463628552
       277               -0.76       -0.7703971119      0.005444034126
       278               -0.84        -0.770647482      0.005430205454
       279               -0.84       -0.7708960573      0.005416428808
       280               -0.84       -0.7711428571      0.005402704214
       281               -0.84       -0.7713879004      0.005389031692
       282               -0.76       -0.7713475177      0.005370072952
       283               -0.84        -0.771590106      0.005356573982
       284               -0.84       -0.7718309859      0.005343126128
       285               -0.92       -0.7723508772      0.005349611484
       286                  -1       -0.7731468531      0.005389798423
       287               -0.84       -0.7733797909      0.005376049866
       288               -0.84       -0.7736111111      0.005362357328
       289               -0.76       -0.7735640138      0.005344009281
       290               -0.84       -0.7737931034      0.005330489764
       291               -0.84       -0.7740206186      0.005317025094
       292               -0.76       -0.7739726027      0.005299032905
       293               -0.76       -0.7739249147      0.005281162046
       294               -0.76        -0.773877551      0.005263411294
       295               -0.76       -0.7738305085      0.005245779442
       296               -0.84       -0.7740540541      0.005232818174
       297               -0.84       -0.7742760943      0.005219907964
       298               -0.84       -0.7744966443      0.005207048717
       299               -0.76       -0.7744481605      0.005189859554
       300                -0.6       -0.7738666667        0.0052050346
       301               -0.68       -0.7735548173      0.005197075651
       302                -0.6       -0.7729801325      0.005211543825
       303                -0.6       -0.7724092409      0.005225519227
       304               -0.84       -0.7726315789      0.005213057948
       305               -0.76       -0.7725901639      0.005196130463
       306               -0.76       -0.7725490196      0.005179312538
       307               -0.68        -0.772247557      0.005171207707
       308                -0.6       -0.7716883117      0.005184569947
       309               -0.68       -0.7713915858      0.005176275623
       310               -0.76       -0.7713548387      0.005159708394
       311               -0.76        -0.771318328      0.005143246868
       312               -0.76       -0.7712820513      0.005126890035
       313               -0.76       -0.7712460064      0.005110636901
       314               -0.84       -0.7714649682      0.005099049464
       315               -0.76       -0.7714285714      0.005082991902
       316               -0.76       -0.7713924051      0.005067035148
       317               -0.84       -0.7716088328      0.005055670825
       318               -0.84       -0.7718238994      0.005044344845
       319               -0.84       -0.7720376176      0.005033057209
       320               -0.76              -0.772      0.005017469482
       321               -0.76       -0.7719626168      0.005001977997
       322               -0.76       -0.7719254658      0.004986581867
       323               -0.92       -0.7723839009      0.004992171882
       324               -0.92       -0.7728395062      0.004997510863
       325               -0.84       -0.7730461538       0.00498640453
       326               -0.76        -0.773006135      0.004971269395
       327               -0.76       -0.7729663609      0.004956225846
       328               -0.92       -0.7734146341       0.00496134636
       329               -0.76       -0.7733738602      0.004946433824
       330               -0.76       -0.7733333333      0.004931610649
       331               -0.68       -0.7730513595      0.004924766109
       332               -0.68       -0.7727710843      0.004917901431
       333               -0.68       -0.7724924925      0.004911017527
       334                -0.6       -0.7719760479      0.004923393758
       335               -0.52       -0.7712238806      0.004965820542
       336               -0.52       -0.7704761905      0.005007013761
       337                -0.6       -0.7699703264      0.005017645082
       338                -0.6       -0.7694674556      0.005027935808
       339               -0.68       -0.7692035398      0.005020025817
       340               -0.76       -0.7691764706      0.005005334016
       341               -0.76       -0.7691495601      0.004990727957
       342               -0.68       -0.7688888889      0.004982938108
       343               -0.76       -0.7688629738      0.004968477981
       344               -0.76       -0.7688372093      0.004954101532
       345               -0.76       -0.7688115942      0.004939808038
       346               -0.84        -0.769017341      0.004929814032
       347               -0.92       -0.7694524496      0.004934771196
       348               -0.84       -0.7696551724      0.004924753036
       349               -0.92       -0.7700859599      0.004929447324
