#      STEP:           E_AVE:             ERROR:
       479       -0.4401644414     0.0008154140675
       480       -0.4402197731     0.0007526970758
       481       -0.4393669982     0.0007699797956
       482       -0.4361851002     0.0007722984874
       483       -0.4386680485     0.0007653709414
       484       -0.4417969434     0.0007667028052
       485       -0.4448153108     0.0006669773816
       486       -0.4418479596     0.0007325242556
       487       -0.4394430792     0.0008688316984
       488       -0.4398849372      0.000733542363
       489       -0.4380022378     0.0007962605359
       490       -0.4363142372     0.0008583395835
       491       -0.4391710879       0.00071394646
       492       -0.4412920776     0.0007152157477
       493       -0.4398346397     0.0007940819101
       494       -0.4364817418     0.0007639764634
       495       -0.4417920127       0.00076960011
       496       -0.4434715344     0.0007972549856
       497       -0.4411476918     0.0008907785868
       498         -0.44316665     0.0008146669019
       499       -0.4446516471      0.000735732161
       500       -0.4433819311     0.0008674463364
       501       -0.4441603642     0.0007398560915
       502       -0.4415235834     0.0009053930881
       503       -0.4452159162     0.0006343570149
       504       -0.4443253831     0.0006336985494
       505       -0.4435875669     0.0006782734862
       506       -0.4429959611     0.0006487956237
       507       -0.4440970823     0.0007616193063
       508       -0.4434725175     0.0007745055564
       509       -0.4445776538     0.0007532869191
       510       -0.4440572712     0.0007650554432
       511       -0.4446219877     0.0008250136206
       512        -0.441223889     0.0008335852147
       513       -0.4409836471      0.001048347049
       514        -0.444747685     0.0007584869669
       515       -0.4430292235     0.0006853723887
       516       -0.4442023068     0.0007469821719
       517       -0.4427180092     0.0007722136764
       518       -0.4436631766     0.0007117159994
       519       -0.4416335377      0.000821173892
       520       -0.4425133824     0.0007972028403
       521       -0.4405395856     0.0006140283252
       522       -0.4439310555     0.0007028085674
       523       -0.4431756937     0.0006944783699
       524       -0.4449659161     0.0006749082978
       525       -0.4434680003     0.0007284617359
       526       -0.4429447543     0.0007818849311
       527       -0.4431473829     0.0007949058457
       528       -0.4447819243     0.0007470705364
       529       -0.4446840996     0.0007368795412
       530       -0.4422693804     0.0008520879708
       531       -0.4429691932     0.0007722868109
       532       -0.4448618536     0.0007918313259
       533       -0.4433395367     0.0007506407346
       534       -0.4437844082     0.0008399327773
       535       -0.4438303254     0.0008121185938
       536          -0.4442323     0.0007229730373
       537       -0.4445559166     0.0007250827325
       538       -0.4445216802     0.0006767935941
       539       -0.4445673986     0.0009292757487
       540       -0.4431346103     0.0007820719137
       541       -0.4430320659     0.0009568767954
       542       -0.4443988832     0.0007589881356
       543       -0.4433350044     0.0008684051488
       544       -0.4417705203     0.0007910567723
       545       -0.4434399039     0.0009672923524
       546        -0.443712309      0.000888267789
       547       -0.4445097461     0.0007885821917
       548       -0.4449465722      0.000677074896
       549       -0.4434872932     0.0007745740988
       550        -0.443821379     0.0008427619542
       551       -0.4432058963     0.0008378362019
       552       -0.4443787637     0.0007731861883
       553       -0.4415353976     0.0007362410566
       554       -0.4423651635     0.0007057310163
       555       -0.4435605566     0.0008273037793
       556       -0.4426924923     0.0007500060013
       557       -0.4417070495     0.0007981645611
       558       -0.4411721781     0.0007565402579
       559       -0.4381580789     0.0008707374128
       560       -0.4435504106     0.0007729776922
       561       -0.4429625381     0.0007031310268
       562       -0.4436651169     0.0009105911536
       563       -0.4432663628     0.0007541157638
       564       -0.4443418635     0.0007678091213
       565        -0.443778008     0.0007504570206
       566       -0.4420921192     0.0007250482754
       567       -0.4421131508     0.0008417045827
       568       -0.4451219635     0.0007608744656
       569       -0.4438294241     0.0008485784885
       570       -0.4426161771     0.0009865208201
       571       -0.4435679332     0.0008234977955
       572       -0.4433775074     0.0007380083217
       573        -0.443951789     0.0007630043113
       574        -0.443915268      0.000893203506
       575        -0.444270062     0.0007344283468
       576       -0.4443178079     0.0007937426461
       577       -0.4442782745     0.0007706395344
       578       -0.4450847888     0.0007860756034
       579        -0.443063635     0.0008239632604
       580       -0.4446151146     0.0008409832201
       581       -0.4454310525     0.0008804486643
       582       -0.4443902921     0.0007193704383
       583       -0.4424988468     0.0009394947155
       584       -0.4436958439       0.00072772702
       585       -0.4426643967     0.0007822688102
       586       -0.4439845474     0.0007966757259
       587       -0.4437424438     0.0007388678885
       588       -0.4427865772     0.0008914264722
       589       -0.4440885326     0.0008820531319
       590       -0.4432706215     0.0007486048919
       591       -0.4434129407     0.0007289473503
       592       -0.4439117476     0.0007263882837
       593       -0.4427516858        0.0008642054
       594       -0.4446841476     0.0007776122781
       595        -0.444238456     0.0007975935286
       596       -0.4441181959      0.000951244794
       597       -0.4461002967     0.0007965382424
       598       -0.4443452989     0.0007594521488
       599       -0.4443935283     0.0007776650628
       600       -0.4434429099     0.0007350644521
       601       -0.4445036185     0.0006957595119
       602       -0.4438287463     0.0007524112255
       603       -0.4443503178     0.0007807478301
       604       -0.4443456836      0.000853252175
       605       -0.4418325953      0.000816152684
       606       -0.4443571802     0.0007080956625
       607       -0.4434511042     0.0007322372749
       608       -0.4434968998     0.0007622762754
       609       -0.4432872631     0.0007833090352
       610        -0.443544821     0.0008327594856
       611       -0.4436283371     0.0007905080259
       612       -0.4445847017     0.0008423285351
       613       -0.4452843554     0.0009956243239
       614       -0.4429096693     0.0009103964671
       615        -0.443646378     0.0008779682935
       616       -0.4437659513     0.0007728532631
       617       -0.4450160915      0.000972573338
       618       -0.4424074612      0.000834447191
       619       -0.4435656762     0.0006836660008
       620       -0.4445595155     0.0007989252777
       621       -0.4439447125      0.000870955319
       622       -0.4441768297     0.0009086870142
       623       -0.4441294498     0.0008079914661
       624       -0.4423259963     0.0006432726053
       625       -0.4445063479     0.0007434422321
       626       -0.4439885712     0.0007749043718
       627       -0.4444489354     0.0007540751927
       628       -0.4427762549     0.0007952368881
       629       -0.4422254583     0.0008360563995
       630        -0.442207565     0.0006655699226
       631       -0.4430546496     0.0007503716968
       632       -0.4429683609     0.0007865443175
       633       -0.4433160203     0.0007774187713
       634       -0.4451584316     0.0007423309336
       635        -0.444196518     0.0008200620487
       636       -0.4437070348     0.0007052899691
       637       -0.4428922445     0.0008677053239
       638       -0.4440123576     0.0007340202539
       639       -0.4441862208     0.0008596040733
       640       -0.4437898764     0.0007834101002
       641       -0.4442195114     0.0008332398849
       642       -0.4450828472     0.0007489462761
       643       -0.4431707616     0.0007696901066
       644       -0.4441383946     0.0007978494911
       645       -0.4437418441     0.0007264279751
       646       -0.4427382911     0.0008035062198
       647       -0.4428083852     0.0006941564604
       648       -0.4442166364     0.0007142889215
       649       -0.4430625231     0.0007073394996
       650       -0.4442197988     0.0007693491469
       651       -0.4444807151     0.0007286918214
       652       -0.4437653087     0.0008044581952
       653         -0.44399829     0.0008082773071
       654        -0.444532182     0.0008174927119
       655       -0.4431403212     0.0007988089007
       656       -0.4425631978     0.0007804667952
       657       -0.4430259391     0.0007999988175
       658        -0.440168306     0.0007358674338
       659       -0.4416105626     0.0008355313485
       660       -0.4443118186     0.0007699188956
       661         -0.44421086     0.0008049189316
       662       -0.4421403566     0.0007563964447
       663       -0.4426120304     0.0007747460014
       664       -0.4423216239     0.0007857103782
       665       -0.4438330857     0.0006649088017
       666       -0.4445045105     0.0008129457253
       667       -0.4427302552     0.0008740545382
       668       -0.4429903629     0.0009376604064
       669       -0.4433344281     0.0008170399883
       670       -0.4446877858     0.0008061187507
       671       -0.4435989809      0.000770984052
       672       -0.4436209683     0.0008823527176
       673       -0.4439798316     0.0008177608096
       674        -0.441176935     0.0008023454906
       675       -0.4414922194     0.0008259557741
       676       -0.4419736168     0.0007271336567
       677       -0.4440869628     0.0008013114375
       678       -0.4451586081     0.0007691572188
       679       -0.4418010776     0.0009238453307
       680       -0.4447145725     0.0008471854251
       681       -0.4433910046     0.0007605814955
       682        -0.443609313     0.0008963663981
       683       -0.4430577512     0.0007517925025
       684       -0.4441222582     0.0007095644892
       685       -0.4451523476     0.0007822823656
       686       -0.4447429931     0.0008416420591
       687       -0.4459460681     0.0007661217989
       688       -0.4443456689     0.0007954839939
       689        -0.442850057     0.0008489400913
       690       -0.4443014586     0.0008811390126
       691       -0.4431620388     0.0009730493943
       692       -0.4444595342     0.0008716323303
       693       -0.4432396904     0.0008359810518
       694       -0.4416836888     0.0009950450777
       695       -0.4438256844      0.000830160063
       696       -0.4420542282       0.00104556251
       697       -0.4426531585       0.00097317852
       698       -0.4419682334     0.0009056264731
       699       -0.4409588091     0.0008061245774
       700       -0.4420856633     0.0009155860411
       701       -0.4425314515     0.0007781392078
       702       -0.4435258895     0.0008795762653
       703       -0.4435056078     0.0009084898177
       704       -0.4427814578     0.0008278184084
       705       -0.4434688558     0.0008460422465
       706       -0.4441575019     0.0008465083719
       707         -0.44363288     0.0007638825167
       708        -0.443751628     0.0008262881292
       709       -0.4429276303     0.0007601159694
       710       -0.4436591939     0.0007953279434
       711       -0.4449916962     0.0007017797289
       712       -0.4440094962     0.0008665985083
       713       -0.4428107197     0.0007484839571
       714       -0.4421807393     0.0008613456583
       715       -0.4434044629     0.0006565629435
       716        -0.441578048     0.0007838622059
       717       -0.4438049078     0.0007119583338
       718       -0.4415056261     0.0007960912626
       719       -0.4428525676     0.0008422251334
       720        -0.444532732     0.0007369335973
       721       -0.4442255192     0.0007739209611
       722       -0.4408450383     0.0007979946157
       723       -0.4420380249     0.0008110778142
       724       -0.4441302777     0.0008389370004
       725       -0.4436481925     0.0008374442511
       726        -0.443844211     0.0007555127729
       727       -0.4433851147     0.0007649001466
       728       -0.4447320155     0.0009547171412
       729       -0.4432548732     0.0008557062929
       730        -0.445080997      0.000646405949
       731       -0.4427805318     0.0007024897637
       732       -0.4447595522     0.0008636709988
       733       -0.4410259491     0.0008769007332
       734       -0.4420612149     0.0009100536871
       735       -0.4451806411     0.0007127156851
       736       -0.4447428287     0.0007053850652
       737       -0.4427997232     0.0008542273514
       738       -0.4424223236     0.0007852541821
       739       -0.4430450404     0.0008430154835
       740       -0.4444916234     0.0008274562546
       741       -0.4438636339     0.0007425322913
       742       -0.4436780575     0.0008720479985
       743       -0.4427013645     0.0008518112315
       744       -0.4419633102     0.0008879763567
       745        -0.443647646     0.0008716779048
